,0,1,2,3,4
FOX3-FUS1-TMP2,67.55088422,77.31793961,63.03473492,76.9648678,0.0
FOX3-CPR1-DOX3,85.41875209,71.63410302,107.202925,111.7710974,0.0
FOX3-CPR1-TMP2,81.14781448,83.85435169,97.55027422,90.03984064,0.0
FOX3-DOX3-TMP2,101.9686353,108.6678508,105.4478976,105.1068453,0.0
FUS1-CPR1-DOX3,81.01091891,76.95780517,68.91478891,0.0,0.0
FUS1-CPR1-TMP2,75.98576862,79.18041327,85.82232582,0.0,0.0
FUS1-DOX3-TMP2,65.93546804,98.86637065,79.85495985,0.0,0.0
CPR1-DOX3-TMP2,107.118145,90.35298787,101.1551412,0.0,0.0
FOX3-FUS1-CPR1-DOX3,60.87754421,71.63410302,90.8226691,79.57261862,0.0
FOX3-FUS1-CPR1-TMP2,66.48314982,76.46536412,85.85009141,67.98261499,0.0
FOX3-FUS1-DOX3-TMP2,50.7340674,68.79218472,59.81718464,66.24411445,0.0
FOX3-CPR1-DOX3-TMP2,95.2952953,107.2468917,109.250457,130.6048533,0.0
FUS1-CPR1-DOX3-TMP2,69.70433076,76.32277429,85.82232582,0.0,0.0
FOX3-FUS1-CPR1-DOX3-TMP2,47.2639306,78.1705151,66.83729433,65.37486418,0.0
FOX3,81.41474808,75.98579041,104.2778793,111.1915972,0.0
FUS1,102.0929947,105.0777665,108.034188,0.0,0.0
CPR1,102.4070666,86.02683998,88.14296814,0.0,0.0
DOX3,89.64789596,90.47205616,94.52473452,0.0,0.0
TMP3,99.89449147,100.9500657,93.11577312,0.0,0.0
FOX3-FUS1,68.88555222,79.30728242,82.9250457,78.99311844,0.0
FOX3-CPR1,81.94861528,80.72824156,114.8080439,107.4248461,0.0
FOX3-DOX3,87.82115449,74.47602131,102.5228519,102.4990945,0.0
FOX3-TMP3,93.15982649,69.92895204,106.6179159,103.6580949,0.0
FUS1-CPR1,81.63906269,75.05271252,72.33359233,0.0,0.0
FUS1-DOX3,80.38277512,82.67308312,93.11577312,0.0,0.0
FUS1-TMP3,68.76211508,84.57817577,87.47992748,0.0,0.0
CPR1-DOX3,102.4070666,94.28224146,90.13209013,0.0,0.0
CPR1-TMP3,101.150779,97.45739588,103.0613831,0.0,0.0
DOX3-TMP3,96.12562876,88.44789522,95.51929552,0.0,0.0
FOX3-FUS1-CPR1,65.68234902,80.1598579,89.06764168,82.47011952,0.0
FOX3-FUS1-DOX3,69.68635302,72.48667851,84.38756856,54.07461065,0.0
FOX3-FUS1-TMP3,70.75408742,74.47602131,76.78244973,73.19811662,0.0
FOX3-CPR1-DOX3,85.41875209,71.63410302,107.202925,111.7710974,0.0
FOX3-CPR1-TMP3,86.75342009,68.5079929,96.96526508,95.83484245,0.0
FOX3-DOX3-TMP3,104.6379713,102.1314387,115.1005484,112.6403477,0.0
FUS1-CPR1-DOX3,81.01091891,76.95780517,68.91478891,0.0,0.0
FUS1-CPR1-TMP3,75.98576862,80.45047503,84.82776483,0.0,0.0
FUS1-DOX3-TMP3,54.47184395,86.16575298,74.55063455,0.0,0.0
CPR1-DOX3-TMP3,95.81155686,92.37714881,95.51929552,0.0,0.0
FOX3-FUS1-CPR1-DOX3,60.87754421,71.63410302,90.8226691,79.57261862,0.0
FOX3-FUS1-CPR1-TMP3,59.00900901,74.47602131,89.06764168,73.19811662,0.0
FOX3-FUS1-DOX3-TMP3,55.27193861,51.50976909,56.38025594,65.95436436,0.0
FOX3-CPR1-DOX3-TMP3,100.1001001,89.91119005,104.2778793,114.0890982,0.0
FUS1-CPR1-DOX3-TMP3,66.87768372,89.3409074,89.13752914,0.0,0.0
FOX3-FUS1-CPR1-DOX3-TMP3,67.55088422,87.8330373,77.95246801,98.69612459,0.0
FOX3,81.41474808,75.98579041,104.2778793,111.1915972,0.0
FUS1,102.0929947,105.0777665,108.034188,0.0,0.0
CPR2,102.4070666,86.02683998,88.14296814,0.0,0.0
DOX1,89.64789596,90.47205616,94.52473452,0.0,0.0
TMP1,100.2085634,102.8551584,92.78425278,0.0,0.0
FOX3-FUS1,68.88555222,79.30728242,82.9250457,78.99311844,0.0
FOX3-CPR2,81.94861528,80.72824156,114.8080439,107.4248461,0.0
FOX3-DOX1,87.82115449,74.47602131,102.5228519,102.4990945,0.0
FOX3-TMP1,93.15982649,72.20248668,108.3729433,102.2093444,0.0
FUS1-CPR2,81.63906269,75.05271252,72.33359233,0.0,0.0
FUS1-DOX1,80.38277512,82.67308312,93.11577312,0.0,0.0
FUS1-TMP1,70.33247454,83.30811401,85.82232582,0.0,0.0
CPR2-DOX1,102.4070666,94.28224146,90.13209013,0.0,0.0
CPR2-TMP1,106.8040731,105.0777665,102.3983424,0.0,0.0
DOX1-TMP1,95.81155686,102.4185747,101.1551412,0.0,0.0
FOX3-FUS1-CPR2,65.68234902,80.1598579,89.06764168,82.47011952,0.0
FOX3-FUS1-DOX1,69.68635302,72.48667851,84.38756856,54.07461065,0.0
FOX3-FUS1-TMP1,79.29596263,85.84369449,81.75502742,74.93661717,0.0
FOX3-CPR2-DOX1,85.41875209,71.63410302,107.202925,111.7710974,0.0
FOX3-CPR2-TMP1,89.68968969,76.46536412,101.0603291,105.9760956,0.0
FOX3-DOX1-TMP1,107.5742409,93.88987567,117.7330896,116.696849,0.0
FUS1-CPR2-DOX1,81.01091891,76.95780517,68.91478891,0.0,0.0
FUS1-CPR2-TMP1,77.55612808,78.22786694,94.77337477,0.0,0.0
FUS1-DOX1-TMP1,61.22438965,89.02339196,85.15928516,0.0,0.0
CPR2-DOX1-TMP1,105.5477855,79.55746285,101.0722611,0.0,0.0
FOX3-FUS1-CPR2-DOX1,60.87754421,71.63410302,90.8226691,79.57261862,0.0
FOX3-FUS1-CPR2-TMP1,71.55488822,79.02309059,90.8226691,67.40311481,0.0
FOX3-FUS1-DOX1-TMP1,53.9372706,64.24511545,72.97989031,67.11336472,0.0
FOX3-CPR2-DOX1-TMP1,103.5702369,79.59147425,122.1206581,117.2763491,0.0
FUS1-CPR2-DOX1-TMP1,67.19175561,81.7205368,86.15384615,0.0,0.0
FOX3-FUS1-CPR2-DOX1-TMP1,49.9332666,70.8348135,73.27239488,77.54436798,0.0
FOX3,81.41474808,75.98579041,104.2778793,111.1915972,0.0
FUS1,102.0929947,105.0777665,108.034188,0.0,0.0
CPR2,98.10896453,99.38345267,91.61546182,0.0,0.0
DOX1,87.01754386,91.30553419,97.17689718,0.0,0.0
TMP2,87.95975954,98.09242676,93.77881378,0.0,0.0
FOX3-FUS1,68.88555222,79.30728242,82.9250457,78.99311844,0.0
FOX3-CPR2,79.54621288,76.74955595,111.297989,111.7710974,0.0
FOX3-DOX1,87.02035369,86.5008881,86.14259598,112.0608475,0.0
FOX3-TMP2,85.15181849,75.3285968,104.5703839,101.6298443,0.0
FUS1-CPR2,69.07618697,80.13295959,63.38254338,0.0,0.0
FUS1-DOX1,77.24205619,75.5488304,83.83320383,0.0,0.0
FUS1-TMP2,72.84504969,79.49792871,73.55607356,0.0,0.0
CPR2-DOX1,90.91280793,94.92840095,88.89324096,0.0,0.0
CPR2-TMP2,94.79709701,89.20047733,96.72697006,0.0,0.0
DOX1-TMP2,107.118145,102.2201275,96.51385651,0.0,0.0
FOX3-FUS1-CPR2,59.54287621,65.09769094,80.87751371,77.54436798,0.0
FOX3-FUS1-DOX1,55.53887221,73.339254,80.0,74.35711699,0.0
FOX3-FUS1-TMP2,67.55088422,77.31793961,63.03473492,76.9648678,0.0
FOX3-CPR2-DOX1,83.55021688,78.54351687,109.8354662,108.8735965,0.0
FOX3-CPR2-TMP2,84.88488488,81.86500888,99.30530165,103.0785947,0.0
FOX3-DOX1-TMP2,100.9009009,67.65541741,105.7404022,91.77834118,0.0
FUS1-CPR2-DOX1,69.39025886,82.03805224,64.37710438,0.0,0.0
FUS1-CPR2-TMP2,85.7219973,88.07084563,85.82232582,0.0,0.0
FUS1-DOX1-TMP2,72.84504969,83.94314489,83.5016835,0.0,0.0
CPR2-DOX1-TMP2,86.2925483,88.88225935,101.4272075,0.0,0.0
FOX3-FUS1-CPR2-DOX1,61.41141141,72.48667851,87.60511883,79.28286853,0.0
FOX3-FUS1-CPR2-TMP2,50.2002002,67.08703375,84.38756856,77.54436798,0.0
FOX3-FUS1-DOX1-TMP2,55.53887221,70.78152753,68.29981718,77.83411807,0.0
FOX3-CPR2-DOX1-TMP2,93.96062729,69.64476021,99.59780622,107.135096,0.0
FUS1-CPR2-DOX1-TMP2,72.53097779,80.45047503,82.50712251,0.0,0.0
FOX3-FUS1-CPR2-DOX1-TMP2,67.28395062,80.72824156,82.63254113,90.29337197,0.0
FOX3,81.41474808,75.98579041,104.2778793,111.1915972,0.0
FUS1,102.0929947,105.0777665,108.034188,0.0,0.0
CPR2,98.10896453,99.38345267,91.61546182,0.0,0.0
DOX1,87.01754386,91.30553419,97.17689718,0.0,0.0
TMP3,99.89449147,100.9500657,93.11577312,0.0,0.0
FOX3-FUS1,68.88555222,79.30728242,82.9250457,78.99311844,0.0
FOX3-CPR2,79.54621288,76.74955595,111.297989,111.7710974,0.0
FOX3-DOX1,87.02035369,86.5008881,86.14259598,112.0608475,0.0
FOX3-TMP3,93.15982649,69.92895204,106.6179159,103.6580949,0.0
FUS1-CPR2,69.07618697,80.13295959,63.38254338,0.0,0.0
FUS1-DOX1,77.24205619,75.5488304,83.83320383,0.0,0.0
FUS1-TMP3,68.76211508,84.57817577,87.47992748,0.0,0.0
CPR2-DOX1,90.91280793,94.92840095,88.89324096,0.0,0.0
CPR2-TMP3,94.14290095,86.33651551,98.60706504,0.0,0.0
DOX1-TMP3,102.4070666,94.91727234,93.86169386,0.0,0.0
FOX3-FUS1-CPR2,59.54287621,65.09769094,80.87751371,77.54436798,0.0
FOX3-FUS1-DOX1,55.53887221,73.339254,80.0,74.35711699,0.0
FOX3-FUS1-TMP3,70.75408742,74.47602131,76.78244973,73.19811662,0.0
FOX3-CPR2-DOX1,83.55021688,78.54351687,109.8354662,108.8735965,0.0
FOX3-CPR2-TMP3,85.68568569,71.34991119,99.01279707,88.59109018,0.0
FOX3-DOX1-TMP3,98.4984985,79.87566607,108.6654479,101.3400942,0.0
FUS1-CPR2-DOX1,69.39025886,82.03805224,64.37710438,0.0,0.0
FUS1-CPR2-TMP3,82.58127837,80.13295959,85.49080549,0.0,0.0
FUS1-DOX1-TMP3,63.73696479,87.43581475,75.87671588,0.0,0.0
CPR2-DOX1-TMP3,86.94674435,97.47414479,101.4272075,0.0,0.0
FOX3-FUS1-CPR2-DOX1,61.41141141,72.48667851,87.60511883,79.28286853,0.0
FOX3-FUS1-CPR2-TMP3,60.34367701,73.90763766,83.21755027,78.41361825,0.0
FOX3-FUS1-DOX1-TMP3,57.94127461,60.03552398,62.81535649,107.9681275,0.0
FOX3-CPR2-DOX1-TMP3,96.6299633,77.31793961,118.3180987,105.6863455,0.0
FUS1-CPR2-DOX1-TMP3,78.81241565,72.83010443,77.86583787,0.0,0.0
FOX3-FUS1-CPR2-DOX1-TMP3,49.666333,76.18117229,75.90493601,63.92611373,0.0
FOX3,81.41474808,75.98579041,104.2778793,111.1915972,0.0
FUS1,102.0929947,105.0777665,108.034188,0.0,0.0
CPR2,98.10896453,99.38345267,91.61546182,0.0,0.0
DOX2,87.01754386,91.30553419,97.17689718,0.0,0.0
TMP1,100.2085634,102.8551584,92.78425278,0.0,0.0
FOX3-FUS1,68.88555222,79.30728242,82.9250457,78.99311844,0.0
FOX3-CPR2,79.54621288,76.74955595,111.297989,111.7710974,0.0
FOX3-DOX2,87.02035369,86.5008881,86.14259598,112.0608475,0.0
FOX3-TMP1,93.15982649,72.20248668,108.3729433,102.2093444,0.0
FUS1-CPR2,69.07618697,80.13295959,63.38254338,0.0,0.0
FUS1-DOX2,77.24205619,75.5488304,83.83320383,0.0,0.0
FUS1-TMP1,70.33247454,83.30811401,85.82232582,0.0,0.0
CPR2-DOX2,90.91280793,94.92840095,88.89324096,0.0,0.0
CPR2-TMP1,94.46999898,90.79156722,97.04031922,0.0,0.0
DOX2-TMP1,100.2085634,99.04497309,105.7964258,0.0,0.0
